Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
Mini Cars,Toyota Group,Toyota,1305,1247,2015,1668,999,1207,8441,1758,1952,1917,1999,1919,1701,11246,0,19687
,,Daihatsu,31649,37579,46149,23698,10711,25863,175649,40148,29494,38197,41240,37202,32963,219244,0,394893
,Renault-Nissan Alliance,Nissan,14699,15950,19713,6509,7925,16209,81005,13844,10928,18694,11955,14867,12625,82913,0,163918
,Honda,Honda,23020,30724,32815,19003,12956,19449,137967,22685,20618,27896,22180,23248,19845,136472,0,274439
,Suzuki,Suzuki,31815,36533,49389,19756,15255,33433,186181,38417,32371,43896,34953,35383,32279,217299,0,403480
,Mazda,Mazda,1845,2256,5027,1603,944,1468,13143,2705,2533,3329,2563,2321,1987,15438,0,28581
,Mitsubishi,Mitsubishi,2919,3421,6713,1327,1357,3102,18839,2387,2169,3368,2546,2057,2380,14907,0,33746
,Subaru,Subaru,1117,1182,1513,991,474,1023,6300,1349,935,1171,987,866,712,6020,0,12320
,Small and Medium OEM,Other,5,5,8,2,2,11,33,5,9,8,13,5,12,52,0,85
Small Cars,VW Group,VW,254,234,419,97,80,130,1214,138,104,169,61,16,14,502,0,1716
,,Porsche (2013-),2,2,4,4,6,3,21,1,2,2,2,2,1,10,0,31
,,Bugatti,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
,Toyota Group,Toyota,48390,59527,81740,46669,39977,47482,323785,56509,45966,57638,56574,48892,44090,309669,0,633454
,,Daihatsu,5130,6207,10285,3346,2535,3351,30854,4120,3742,6074,5096,3074,2943,25049,0,55903
,Renault-Nissan Alliance,Nissan,9526,13461,14735,5038,4637,7667,55064,8786,5537,8668,5717,5299,7151,41158,0,96222
,,Renault,143,189,348,186,137,199,1202,203,235,270,164,146,115,1133,0,2335
,Honda,Honda,10838,16805,25040,15372,11239,15219,94513,15451,12087,16958,16847,13806,12636,87785,0,182298
,FCA,Fiat (-2020),240,353,655,176,223,409,2056,296,273,537,444,363,593,2506,0,4562
