"name","group__name","group__brand__name","group__brand__sales__001","group__brand__sales__002","group__brand__sales__003","group__brand__sales__004","group__brand__sales__005","group__brand__sales__006","group__brand__sales__007","group__brand__sales__008","group__brand__sales__009","group__brand__sales__010","group__brand__sales__011","group__brand__sales__012","group__brand__sales__013","group__brand__sales__014","group__brand__sales__015","group__brand__sales__016"
"Mini Cars","Toyota Group","Toyota","1383","1744","2292","2155","1777","1889","11240","1906","1936","976","1348","1719","1694","9579","0","20819"
"","","Daihatsu","34976","39061","50893","32920","28047","32015","217912","32201","27536","18601","19548","30982","33798","162666","0","380578"
"","Renault-Nissan Alliance","Nissan","14574","18163","22578","9861","10322","8317","83815","7316","7607","14717","13981","11635","3596","58852","0","142667"
"","Honda","Honda","23350","25925","37958","22838","19901","23789","153761","23313","17998","17438","12838","20840","18615","111042","0","264803"
"","Suzuki","Suzuki","35988","41876","56359","32978","30919","27174","225294","26739","28312","28635","27725","33110","27916","172437","0","397731"
"","Mazda","Mazda","2481","2676","3172","1895","1802","1926","13952","2003","1766","1741","1558","2141","1361","10570","0","24522"
"","Mitsubishi","Mitsubishi","2628","4018","6264","2021","1951","2513","19395","2421","2313","4737","2541","1939","1218","15169","0","34564"
"","Subaru","Subaru","875","1472","1620","962","870","892","6691","854","601","395","348","575","640","3413","0","10104"
"","Small and Medium OEM","Other","12","2","11","7","1","0","33","3","3","0","4","1","4","15","0","48"
"Small Cars","VW Group","VW","5","2","1","4","0","1","13","3","4","2","4","3","3","19","0","32"
"","","Porsche (2013-)","0","1","5","1","2","4","13","3","2","2","6","2","3","18","0","31"
"","","Bugatti","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","1"
"","Toyota Group","Toyota","42595","49271","70437","46852","39413","45270","293838","55935","44128","34114","33961","43370","44088","255596","0","549434"
"","","Daihatsu","3820","4150","5102","2577","2565","3169","21383","3260","2665","1539","1490","5294","3676","17924","0","39307"
"","Renault-Nissan Alliance","Nissan","9569","9913","17207","7054","7068","7927","58738","8113","7304","6960","4964","6645","6076","40062","0","98800"
"","","Renault","200","279","274","82","154","241","1230","182","172","186","141","33","23","737","0","1967"
"","Stellantis","Fiat (2021-)","333","327","527","443","430","591","2651","362","426","669","433","280","647","2817","0","5468"
"","","Chrysler (2021-)","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","1"
