Type,Group,Maker/Brand,Jan.,Feb.,Mar.,Apr.,May,Jun.,First Half(Jan.-Jun.),Jul.,Aug.,Sep.,Oct.,Nov.,Dec.,Second Half(Jul.-Dec.,Adjusted value,Total
Mini Cars,Toyota Group,Toyota,"1,383","1,744","2,292","2,155","1,777","1,889","11,240","1,906","1,936",976,"1,348","1,719","1,694","9,579",0,"20,819"
,,Daihatsu,"34,976","39,061","50,893","32,920","28,047","32,015","217,912","32,201","27,536","18,601","19,548","30,982","33,798","162,666",0,"380,578"
,,Toyota Group Total,"36,359","40,805","53,185","35,075","29,824","33,904","229,152","34,107","29,472","19,577","20,896","32,701","35,492","172,245",0,"401,397"
,Renault-Nissan Alliance,Nissan,"14,574","18,163","22,578","9,861","10,322","8,317","83,815","7,316","7,607","14,717","13,981","11,635","3,596","58,852",0,"142,667"
,,Renault-Nissan Alliance Total,"14,574","18,163","22,578","9,861","10,322","8,317","83,815","7,316","7,607","14,717","13,981","11,635","3,596","58,852",0,"142,667"
,Honda,Honda,"23,350","25,925","37,958","22,838","19,901","23,789","153,761","23,313","17,998","17,438","12,838","20,840","18,615","111,042",0,"264,803"
,,Honda Total,"23,350","25,925","37,958","22,838","19,901","23,789","153,761","23,313","17,998","17,438","12,838","20,840","18,615","111,042",0,"264,803"
,Suzuki,Suzuki,"35,988","41,876","56,359","32,978","30,919","27,174","225,294","26,739","28,312","28,635","27,725","33,110","27,916","172,437",0,"397,731"
,,Suzuki Total,"35,988","41,876","56,359","32,978","30,919","27,174","225,294","26,739","28,312","28,635","27,725","33,110","27,916","172,437",0,"397,731"
,Mazda,Mazda,"2,481","2,676","3,172","1,895","1,802","1,926","13,952","2,003","1,766","1,741","1,558","2,141","1,361","10,570",0,"24,522"
,,Mazda Total,"2,481","2,676","3,172","1,895","1,802","1,926","13,952","2,003","1,766","1,741","1,558","2,141","1,361","10,570",0,"24,522"
,Mitsubishi,Mitsubishi,"2,628","4,018","6,264","2,021","1,951","2,513","19,395","2,421","2,313","4,737","2,541","1,939","1,218","15,169",0,"34,564"
,,Mitsubishi Total,"2,628","4,018","6,264","2,021","1,951","2,513","19,395","2,421","2,313","4,737","2,541","1,939","1,218","15,169",0,"34,564"
,Subaru,Subaru,875,"1,472","1,620",962,870,892,"6,691",854,601,395,348,575,640,"3,413",0,"10,104"
