Name,Group,Brand,Jan,Feb,Mar,Apr,May,Jun,First Half,Jul,Aug,Sep,Oct,Nov,Dec,Second Half,Adjusted Value,Total
Mini Cars,Toyota Group,Toyota,839,957,1253,1176,1447,1540,7212,714,854,1001,984,967,879,5399,0,12611
,,Daihatsu,36213,35923,44086,34136,29576,33308,213242,23606,27302,35562,36440,36282,27764,186956,0,400198
,Renault-Nissan Alliance,Nissan,14730,15964,19163,8509,9285,10920,78571,12052,10978,15071,11086,12353,11794,73334,0,151905
,Honda,Honda,24753,25401,35623,18611,17504,19851,141743,21814,20815,26355,28391,26076,23678,147129,0,288872
,Suzuki,Suzuki,34690,34435,39507,29362,28400,32873,199267,34260,30359,38323,34712,35662,29796,203112,0,402379
,Mazda,Mazda,2455,2561,2590,2265,2262,2112,14245,2689,2456,2759,2622,2176,1387,14089,0,28334
,Mitsubishi,Mitsubishi,3080,3442,4582,1666,3022,3875,19667,3775,3886,5708,4826,5296,4981,28472,0,48139
,Subaru,Subaru,851,892,971,757,734,781,4986,427,584,796,730,644,658,3839,0,8825
,Small and Medium OEM,Other,4,2,6,1,8,13,34,3,4,8,11,3,4,33,0,67
Small Cars,VW Group,VW,1,3,1,0,2,0,7,0,5,0,1,0,0,6,0,13
,,Porsche (2013-),0,1,4,1,1,1,8,0,1,2,0,3,3,9,0,17
,Toyota Group,Toyota,41869,46337,61810,38920,36882,42402,268220,41779,39751,46757,43504,45748,37329,254868,0,523088
,,Daihatsu,2905,3440,4374,2884,1697,962,16262,999,1604,3007,2414,1937,1777,11738,0,28000
,Renault-Nissan Alliance,Nissan,6088,6616,9926,4793,3925,6292,37640,6182,4370,7051,5667,5792,4549,33611,0,71251
,,Renault,154,223,199,65,166,195,1002,135,82,77,107,100,73,574,0,1576
,Stellantis,Fiat (2021-),305,234,425,248,260,427,1899,210,191,334,227,349,447,1758,0,3657
,,Abarth (2021-),70,66,155,109,82,226,708,107,123,123,133,119,153,758,0,1466
